ReviewID,FeatureID,n
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,7,1
1,10,1
1,18,1
2,2,1
2,4,1
2,5,1
2,7,1
2,12,1
2,18,1
3,2,1
3,3,1
3,1,1
3,5,1
3,7,1
3,10,1
4,15,1
4,16,1
4,22,1
5,6,1
5,14,1
6,17,1
6,19,1
6,20,1
6,23,1
7,9,1
7,22,1
8,21,1
8,11,1
8,6,1
8,4,1
9,24,1
9,21,1
10,3,1
10,5,1
10,7,1
11,16,1
12,17,1
12,10,1
12,1,1
13,1,1
13,2,1
13,3,1
13,4,1
14,7,1
14,6,1
14,9,1
14,12,1
14,13,1
14,14,1
14,24,1
15,23,1
15,24,1
16,24,1
17,1,1
17,2,1
17,3,1
18,9,1
18,14,1
19,1,1
19,4,1
19,5,1
19,24,1
20,2,1
20,1,1
21,1,1
21,6,1
21,7,1
21,8,1
22,1,1
23,3,1
24,1,1
24,5,1
24,10,1
24,24,1
25,1,1
26,3,1
27,1,1
27,2,1
27,3,1
28,10,1
28,11,1
29,24,1
29,21,1
30,7,1
30,21,1
