FeatureID,g1,g2,g3,g4
1,7.0,3.0,5.0,0.0
2,4.0,0.0,6.0,0.0
3,0.0,0.0,12.0,0.0
4,5.0,1.0,2.0,0.0
5,3.0,2.0,4.0,0.0
6,6.0,0.0,0.0,1.0
7,5.0,1.0,4.0,1.0
8,4.0,0.0,0.0,0.0
9,0.0,0.0,0.0,6.0
10,5.0,1.0,2.0,0.0
11,6.0,0.0,0.0,0.0
12,4.0,0.0,1.0,1.0
13,4.0,1.0,0.0,1.0
14,4.0,0.0,0.0,2.0
15,4.0,0.0,0.0,0.0
16,4.0,1.0,0.0,0.0
17,5.0,0.0,0.0,0.0
18,3.0,0.0,2.0,0.0
19,3.0,0.0,0.0,0.0
20,4.0,0.0,0.0,0.0
21,1.0,6.0,0.0,0.0
22,4.0,0.0,0.0,1.0
23,4.0,1.0,0.0,0.0
24,0.0,9.0,0.0,1.0
25,6.0,0.0,0.0,0.0
26,5.0,0.0,1.0,0.0
